City,Departure_Date,Return_Date,Picture_Path,Price,Num_Stops,Duration_Hours,Duration_Minutes,Lodging_Cost,Description
Hội An,Feb 5,Feb 13,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRADF1GyCOaqQ7sLscZIizBT0DkNaROOAfWstIr0CuC3go6iyxwsveqnqHo6_y8aPgOVVgiSwZoMrLkeXRk0StnZKTB7BWBKYyU4_ytuQU,"1,351",3,38,25,29,"Old Town Hội An, the city's historic district, is recognized as an exceptionally well-preserved example of a Southeast Asian trading port dating from the 15th to the 19th century, its buildings and street plan reflecting a blend of indigenous and foreign influences.[3][4] Prominent in the city's old town, is its covered ""Japanese Bridge"", dating to the 16th-17th century.
"
Ko Samui,May 8,May 17,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQN5xeUCKj6KTWih8-f6Z8UgZwuFnHPJV79q_LxhyHVRb9wUgNWnvnTs0aEtjasVTZTSHxysvMuz6EAkaSHII1U-8IbCQrig0AdtCHdHyQ,761,2,33,5,35,"The island was probably first inhabited about 15 centuries ago, settled by fishermen from the Malay Peninsula[4] and southern China. It appears on Chinese maps dating back to 1687, under the name Pulo Cornam.[5]
"
Pattaya City,Apr 7,Apr 13,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQqn13FYLw39kBCWnRSk3M0d7RT-DvE1m94qyXL3U52pqpFmBUvJSdJEwCvtDYDuRKy8gl45eSgt51NcNX6pN-ZXkBFc5raijTSDJE8qwU,593,1,24,45,26,"Pattaya (Thai: พัทยา, RTGS: Phatthaya, pronounced [pʰát.tʰā.jāː] (listen)) is a city in Thailand. It is on the east coast of the Gulf of Thailand, about 100 kilometres (62 mi) southeast of Bangkok, within, but not part of, Bang Lamung District in the province of Chonburi. Pattaya City (Thai: เมืองพัทยา, RTGS: Mueang Phatthaya) is a self-governing municipal area which covers Tambon's Nong Prue and Na Klua and parts of Huai Yai and Nong Pla Lai. The city is in the industrial Eastern Seaboard zone, along with Si Racha, Laem Chabang, and Chonburi. Pattaya is at the center of the Pattaya-Chonburi Metropolitan Area—a conurbation in Chonburi Province—with a population of roughly 1,000,000.
"
Krong Siem Reap,Apr 14,Apr 20,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSRd83Y9Vc5hpiYCPNCrNiBvbLQXH_hq3bgwZfIAFXB1e3eDF6VxtzSiL2Key_0ElbPld1NWkH0A_BG2Mc13yBS62FoDQ9LYcuTqmoX7R0,915,2,34,45,33,
Jakarta,Feb 3,Feb 10,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQc7DaUqU4EbyrxSkruNZwt6CZeS_5JiuWiW5W4uM3y1LMcNCKTqu_gqIdbvkwYL8e1iqTyOoufjEau_Z2ZhCIzoy1I9329mNXA9mOyoPY,668,2,31,45,22,"Jakarta (/dʒəˈkɑːrtə/; Indonesian pronunciation: [dʒaˈkarta] (listen)), officially the Special Capital Region of Jakarta (Indonesian: Daerah Khusus Ibukota Jakarta), is the largest city of Indonesia. Lying on the northwest coast of Java, the world's most populous island, Jakarta is the largest city in Southeast Asia and serves as the diplomatic capital of ASEAN. The city is the centre of the economy, culture, and politics of Indonesia. It has a province level status which has a population of 10,562,088 as of 2020[update]. Although Jakarta extends over only 664.01 square kilometres (256.38 sq mi), and thus has the smallest area of any Indonesian province, its metropolitan area covers 9,957.08 square kilometres (3,844.45 sq mi), which includes the satellite cities Bogor, Depok, Tangerang, South Tangerang, and Bekasi, and has an estimated population of 35 million as of 2021[update], making it the largest urban area in Indonesia and the second-largest in the world (after Tokyo). Jakarta ranks first among the Indonesian states in human development index. Jakarta's business opportunities, and its ability to offer a potentially higher standard of living than is available in other parts of the country, have attracted migrants from across the Indonesian archipelago, making it a melting pot of numerous cultures.
"
Phnom Penh,Apr 28,May 4,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRLKcWS4_ulU3qgBxZOpiRL0rNvVLkwDBRFdbrEl4V_LUhJ55E_DF1hpaLuTF0BzCEZ6e1L7qf1GZzGH3r7l5IF5EA3wYTbOS-u7l00b-c,744,2,28,20,29,"Phnom Penh (/pəˌnɒm ˈpɛn, ˌpnɒm -/;[6][7][8] Khmer: ភ្នំពេញ, Phnum Pénh  [pʰnumˈpɨɲ]; lit. ""Penh's Hill"") is the capital and most populous city of Cambodia. It has been the national capital since the French protectorate of Cambodia, and has grown to become the nation's economic, industrial, and cultural centre.
"
Phi Phi Islands,May 8,May 15,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRAOcsohKlGuAKFG7-v7htFtoQHnFsfnpKvUACEckn6X08uUUxNlQgBRjpHJL0RfLQu6qbbqKCLNHdVJVa85xT6VGDI-7bom8jDr7rXawc,719,1,31,30,52,"Phi Phi Don was initially populated by Thai Malays fishermen during the late-1940s, and later became a coconut plantation. The resident Thai population of Phi Phi Don remains more than 80 percent Muslim. The current population however—if counting transient workers—is more Buddhist than Muslim. The resident population is between 2,000 and 3,000 people (2013).[citation needed]
"
Phra Nakhon Si Ayutthaya,Apr 7,Apr 13,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRU7KqLrSW4Nb62IedqtNdSc5zIh6yxZA51U4ewtK1kGyVGOqsV_swquTUNp8sqLZTcBTKvY-HTWvKO7lai4HMqXsaqhJdCuHHiFs5Ms3c,593,1,24,45,31,"Ayutthaya, Ayudhya, or Ayuthia may refer to:
"
Boracay,Apr 22,May 1,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcS90VBTy4qi3GJ89kboS092wj0XP5_EurIvukEcWD0a2FwOkUuPIspJn8lFVdEzuoJTeIww9iNGBa5rnhbJvIpVfwepiwPJ-xTt8dKoHu4,"1,093",3,30,0,60,"Apart from its white sand beaches, Boracay is also famous for being one of the world's top destinations for relaxation.[4][5] As of 2013[update], it was emerging among the top destinations for tranquility and nightlife.[6]
"
George Town,Apr 7,Apr 13,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRwxbEMqfWB-aDQNU8PBsl95XG1_3ztXwYffUuo38kjmitLl83P2-oSuYEs8vpYNU3_x6vC5BlKhbiT4Q69-Pa6ijq8BAaQXRsOUiARebk,746,2,32,35,35,"Georgetown or George Town may refer to:
"
Yangon,Apr 11,Apr 20,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcS5CuLlR88N2H-Weun4Pl7lHsbBhbFCjESBaLhgZw7qw0dHssLYyebnxPYv-w3uyWt_JNDGp11lUr3TUMO_K2slFTMEJfm_91wgcf0ZIqY,"1,132",2,29,30,31,"Yangon (Burmese: ရန်ကုန်; pronounced [jàɰ̃ɡòʊɰ̃ mjo̰]; lit. 'End of Strife'), also known as Rangoon, is the capital of the Yangon Region and the largest city of Myanmar (also known as Burma). Yangon served as the capital of Myanmar until 2006, when the military government relocated the administrative functions to the purpose-built capital city of Naypyidaw in north central Myanmar.[3] With over 7 million people, Yangon is Myanmar's most populous city and its most important commercial centre.
"
Kanchanaburi,Apr 7,Apr 13,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRoeBlbSxYUp8sqkJQR0XolaMmCplkq_d6Ttyz0xhUw1isE6jr1RsBzMGkwq5N0_3xrOwx2FLZElahO6AWr1y59LN9Zh_1ge6AUtGzbu9Q,593,1,24,45,33,"In the late-18th century, Kanchanaburi was established by King Rama I as a defensive outpost against possible Burmese attacks in what is now Lat Ya Sub-district. In 1833, the town was moved about 16 km to the southeast along the river to its present site during the reign of King Rama III.[3]
"
Langkawi,Mar 31,Apr 6,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcT7PUTmwchzIzQ_u7LZqVjdaIsSwsSgDNnkT49BTT64x26FoFccsN0zdvm8u3okR6KbkZj6zeRxHlm_xr40sCSdIJeppj4fl_rhVFv7x0c,826,3,29,15,42,"Langkawi, officially known by its title Langkawi, the Jewel of Kedah (Malay: Langkawi Permata Kedah), is a duty-free island and an archipelago of 99 islands (plus five small islands visible only at low tide in the Strait of Malacca) located some 30 km off the coast of northwestern Malaysia and a few kilometres south of Ko Tarutao, adjacent to the Thai border. Politically, it is an administrative district of Kedah, with Kuah as its largest town. Pantai Cenang is the island's most popular beach and tourist area.[3][4]
"
Gili Islands,Apr 28,May 4,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRT9edztEOXDoEOonFzyQMCBB6IGXQIISpmtsI-yP6memWs5RP3M8AZ6nPtEjOSI9KtUQBZNntjthMtxSctuPu3obmhQhNMxJknl-4RUUU,743,2,37,30,45,"The islands are a tourist destination. Each island has several resorts, usually consisting of a collection of huts for tourists, a small pool and restaurant. The largest Indonesian settlement is located on Gili Air, however due to the amount of western expatriates who live on Trawangan together with the locals, it has become the more densely populated island, concentrated in a township stretching along its east side (this is also where the majority of tourist development has taken place). Automobiles and motorized traffic are prohibited on the islands by local ordinance, so the preferred method of transportation is by foot and bicycle or the horse-drawn carriage called a cidomo. Scuba diving and free diving in and around the Gilis is also common due to the abundance of marine life and coral formations. Most famous diving spots are Shark point, Manta point and Simon's reef.[2]
"
Hue,Feb 5,Feb 13,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRPh_p7cvkaGetkQ9rNcifWhod2oDmSgk8xRHoZOoSs6pK8wJu0DWhjFGz7NpPh18VO6lO1GlaCgOev2dviWJ1dLmf6Z9HAnnaf8UODjnk,"1,351",3,38,25,22,"Hue can typically be represented quantitatively by a single number, often corresponding to an angular position around a central or neutral point or axis on a color space coordinate diagram (such as a chromaticity diagram) or color wheel, or by its dominant wavelength or by that of its complementary color. The other color appearance parameters are colorfulness,  saturation (also known as intensity or chroma),[2] lightness, and brightness. Usually, colors with the same hue are distinguished with adjectives referring to their lightness or colorfulness - for example: ""light blue"", ""pastel blue"", ""vivid blue"", ""cobalt blue"". Exceptions include brown, which is a dark orange.[3]
"
Khao Yai National Park,Apr 7,Apr 13,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTg7mRtN5WKAzuqjFShKieHKyvB0vLNOH9k_q1JNGVgUDL4iDTu91yX2blGN5Scy6tmiqX88Tdd5h9FZeQMxinraXeAQpDFXpM4HQwH3Yw,593,1,24,45,51,"Khao Yai National Park (Thai: อุทยานแห่งชาติเขาใหญ่, RTGS: Utthayan Haeng Chat Khao Yai, pronounced [ʔùt.tʰā.jāːn hɛ̀ŋ t͡ɕʰâːt kʰǎw jàj]) is a national park in Thailand. Established in 1962 as Thailand's first national park, it is the third largest national park in Thailand.[1]
"
Phú Quốc,Apr 9,Apr 15,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcR3iwmw7ylyB2oyKqmVvkycZH42QG5h8bu6ysVxV-jLTHYoFCA4XP0KizA6h9bPsyiML2rPrCF5j7GxDuCNirhIwOm3Eo0QLfAv49LWrBU,704,1,30,35,30,"Its primary industries are fishing, agriculture, and a fast-growing tourism sector. Phú Quốc has achieved fast economic growth due to its current tourism boom. Many infrastructure projects have been carried out, including several five-star hotels and resorts. Phú Quốc International Airport is the hub connecting Phú Quốc with mainland Vietnam and other international destinations.
"
Cebu City,Apr 7,Apr 13,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRghmVsynEc_GuI0Qmb9nq1St16HMcIdTbfRbBm5OEeI4ubnOOOKtOlxlz2s6qwn14gOnS564dfFfl-v9-g5Sq6SrxvP0Ca9QKa-x9q3ms,743,1,19,0,28,"It is the regional center and primate city of Central Visayas and seat of government of the province of Cebu, but governed independently. The city and its metropolitan area exerts influence on commerce, trade, industry, education, culture, tourism & healthcare beyond the region, over the entire Visayas and partly over Mindanao. It is the Philippines' main domestic shipping port and is home to about 80% of the country's domestic shipping companies. The highest-ranked university outside Manila based on international rankings[7] is located in Cebu City--the University of San Carlos, which is also the (disputed) oldest school in the country.
"
Ko Pha Ngan,Jul 15,Jul 24,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTzq-EtcGnRX50WXvVwzd8n1S9qW4EAP7G51x9kDXE5G7nv2JFU3OPqZfYlT_v4XhbJXgJNi1MA3k-XuMJOEI-8bSKrgOaUEkU_x_TGrUo,725,2,27,45,37,"The name Ko Pha-ngan derives from the word ""ngan"", meaning 'sand bar' in southern Thai, for there are many sand bars offshore.[citation needed]
"
Nha Trang,Apr 22,Apr 28,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS6deYXti3jFNIy9mfEgF4jSAanN6luo8iIRk3iqpEd8i5KFA-xpOhgLLZvNs5ZKvm-umVuWqqswg_EtGvCkqS37tRg0MRynCOKT7Ovo3g,"1,499",1,26,5,29,"Nha Trang is well known for its beaches and scuba diving and has developed into a popular destination for international tourists, attracting large numbers of backpackers, as well as more affluent travelers on the south-east Asia circuit; it is already very popular with Vietnamese tourists, with Nha Trang Bay widely considered as among the world's most beautiful bays.[citation needed] Tourists are welcomed to participate in the Sea Festival, held biennially. Nha Trang was the site of the Miss Universe 2008 Pageant on July 14, 2008 and Miss Earth 2010 was held on December 4, 2010. It was also the site for the April 14, 2015 season 8 finale of Face Off. Nha Trang was approved to host the 2016 Asian Beach Games.
"
El Nido,Apr 22,Apr 28,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcT-Rwy01GTofbdVOeMoKD7m0ocUZnyBZSqPGaaOJ63LJQz-ikNCtShEb9DBdIDanGnkw4gfofA7tvL84qG2XjgA3ULYKgQiUv9yfhJVaSA,"1,078",3,26,45,83,"El Nido may refer to:
"
Da Nang,Feb 5,Feb 13,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQhvXbZJKrSz-iY1bfIgZCRC1BCPeAdYemNvGE7hNaIvsbSQbsSnO5ydrf1cMWHSaf3C_z87BOcUPVOSWYfUabNWi_hhnLT6NkJxIVGpxY,"1,351",3,38,25,26,"Da Nang is the commercial and educational centre of Central Vietnam and is the largest city in the region. It has a well-sheltered, easily accessible port, and its location on National Route 1A and the North–South Railway makes it a transport hub. It is within 100 km (62 mi) of several UNESCO World Heritage Sites, including the Imperial City of Huế, the Old Town of Hội An, and the Mỹ Sơn ruins. The city was known as Cửa Hàn during early Đại Việt settlement, and as Tourane (or Turon) during French colonial rule. Before 1997, the city was part of Quang Nam-Da Nang Province.
"
Sa Pa,May 9,May 15,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRAq3SJfgwIWl3z-RbM46XRKBn7Y45-h5cIx6tec_Skjp8Z0EJ9aRtUKt1kWn398yP6GPn7_bcTPZSvIr1PcC0CDHZec23c-QD9fEOSouE,757,2,37,15,26,"Sa Pa is subdivided to 16 commune-level subdivisions, including the 6 wards of: Cầu Mây, Hàm Rồng, Ô Quý Hồ, Phan Si Păng, Sa Pa, Sa Pa and 10 rural communes of: Bản Hồ, Hoàng Liên, Liên Minh, Mường Bo, Mường Hoa, Ngũ Chỉ Sơn, Tả Phìn, Tả Van, Thanh Bình and Trung Chải.
"
Mueang Chiang Rai,Apr 7,Apr 13,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTZDO5Pal7UrZMXcpUsdCF2BlgVor2VR3I_NADqXBqd22-9dVRvmDWqTx6-d6u2rJ4sTmvsBM5RuLUi_daN6XiJlRDS-Idnzlt6dESDsOU,593,1,24,45,22,
Ko Tao,Jul 15,Jul 24,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRDN05gWqnS6z-yiT0bNNPCl8GKApT02EYzxPSqUx9_JHN1dMG2qPPleBZe2UaDJaiJRU94h0ZghBHBLghstZ3JhXHPE-girE7vuHIQAkE,725,2,27,45,44,"Ko Tao (also often Koh Tao; Thai: เกาะเต่า, pronounced [kɔ̀ʔ tàw], lit. ''Turtle Island'') is an island in Thailand and is part of the Chumphon Archipelago on the western shore of the Gulf of Thailand. It covers an area of about 21 km2 (8 sq mi). Administratively it is a subdistrict (tambon) of Ko Pha-ngan District (amphoe) of Surat Thani Province. As of 2006[update] its official population was 1,382.[citation needed] The main settlement is Ban Mae Haad.
"
Malacca,Feb 21,Mar 1,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcS64yK4U28hd9gF7MsKqiMLfkCrpV8tFvOllUX5o1jb0wXbx5pnHzG7PAkoEZhmc2j39Ntj5zGQaQfKDu4Hs3GmLBEw-JTmPnym3WNbvKc,622,2,20,35,31,"Malacca, officially the State of Malacca, is a state in Malaysia located in the southern region of the Malay Peninsula, next to the Strait of Malacca. Its capital is Malacca City, dubbed the Historic City,[14] which has been listed as a UNESCO World Heritage Site since 7 July 2008.[15]
"
Dalat,May 5,May 11,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS_iPT06OjFrDmYNH1T5lQ7jtsETh_Om46Cti7WFDFzilLt42XoNvruuldgOAtdLli0akp9aCiYVSZmgvQg8FkB90AUAzaeREHmeUT7PhE,704,1,30,5,29,"Dalat may refer to:
"
Mumbai,Feb 24,Mar 2,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQfVtN_ygRD5etRQSuvrRD3uB5-OOhsn6tuVs3ibEBIGaHTc4j5Ogl4gurhpZjL85AkLcLcfYuEz-LPjKsIjo8pQImcy4kT5aRUd274WNc,724,1,20,40,33,"Mumbai (English: /mʊmˈbaɪ/ (listen), Marathi: [ˈmumbəi ]; also known as Bombay /bɒmˈbeɪ/— the official name until 1995) is the capital city of the Indian state of Maharashtra. According to the United Nations, as of 2018, Mumbai is the second-most populous city in India after Delhi and the eighth-most populous city in the world with a population of roughly 2 crore (20 million).[16] As per the Indian government population census of 2011, Mumbai was the most populous city in India with an estimated city proper population of 1.25 crore (12.5 million) living under the Municipal Corporation of Greater Mumbai.[17] Mumbai is the centre of the Mumbai Metropolitan Region, the sixth most populous metropolitan area in the world with a population of over 2.3 crore (23 million).[18] Mumbai lies on the Konkan coast on the west coast of India and has a deep natural harbour. In 2008, Mumbai was named an alpha world city.[19][20] It has the highest number of millionaires and billionaires among all cities in India.[21][22]  Mumbai is home to three UNESCO World Heritage Sites: the Elephanta Caves, Chhatrapati Shivaji Maharaj Terminus, and the city's distinctive ensemble of Victorian and Art Deco buildings designed in the 19th and 20th centuries.[23][24]
"
Goa,Mar 3,Mar 9,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTzVqzxm0V1RE5SecHLiN7PBOcui_h3jpN8TwrWx5AFiugiYmLwbs7VoRNxIByXZ0jQED7qILGvU8tfpdNe0vlLzMV9m33Do7tKlNZt90s,844,3,31,55,42,"Sarve bhadrāṇi paśyantu mā kaścid duḥkhamāpnuyāt
"
